"","time","2.5%","50%","97.5%"
"1",42,0.0228758331641885,1.22083018166777,160.741131056339
"2",47,0.0228758331641885,1.22083018166777,160.741131056339
"3",53,0.0228758331641885,1.22083018166777,160.741131056339
"4",59,0.0228758331641885,1.22083018166777,160.741131056339
"5",85,0.0228758331641885,1.22083018166777,160.741131056339
"6",96,0.0228758331641885,1.22083018166777,160.741131056339
"7",98,0.0228758331641885,1.22083018166777,160.741131056339
"8",110,0.0228758331641885,1.22083018166777,160.741131056339
"9",141,0.0228758331641885,1.22083018166777,160.741131056339
"10",146,0.0228758331641885,1.22083018166777,160.741131056339
"11",158,0.0228758331641885,1.22083018166777,160.741131056339
"12",159,0.0228758331641885,1.22083018166777,160.741131056339
"13",206,0.0228758331641885,1.22083018166777,160.741131056339
"14",214,0.0228758331641885,1.22083018166777,160.741131056339
"15",216,0.0228758331641885,1.22083018166777,160.741131056339
"16",224,0.0228758331641885,1.22083018166777,160.741131056339
"17",257,0.0228758331641885,1.22083018166777,160.741131056339
"18",266,0.0228758331641885,1.22083018166777,160.741131056339
"19",271,0.0228758331641885,1.22083018166777,160.741131056339
"20",276,0.0228758331641885,1.22083018166777,160.741131056339
"21",330,0.0228758331641885,1.22083018166777,160.741131056339
"22",336,0.0228758331641885,1.22083018166777,160.741131056339
"23",340,0.0228758331641885,1.22083018166777,160.741131056339
"24",343,0.0228758331641885,1.22083018166777,160.741131056339
"25",375,0.0228758331641885,1.22083018166777,160.741131056339
"26",379,0.0228758331641885,1.22083018166777,160.741131056339
"27",385,0.0228758331641885,1.22083018166777,160.741131056339
"28",432,0.0228758331641885,1.22083018166777,160.741131056339
"29",453,0.0228758331641885,1.22083018166777,160.741131056339
"30",460,0.0228758331641885,1.22083018166777,160.741131056339
"31",464,0.0228758331641885,1.22083018166777,160.741131056339
"32",510,0.0228758331641885,1.22083018166777,160.741131056339
"33",516,0.0228758331641885,1.22083018166777,160.741131056339
"34",531,0.0228758331641885,1.22083018166777,160.741131056339
"35",534,0.0228758331641885,1.22083018166777,160.741131056339
"36",571,0.0228758331641885,1.22083018166777,160.741131056339
"37",586,0.0228758331641885,1.22083018166777,160.741131056339
"38",588,0.0228758331641885,1.22083018166777,160.741131056339
"39",629,0.0228758331641885,1.22083018166777,160.741131056339
"40",631,0.0228758331641885,1.22083018166777,160.741131056339
"41",647,0.0228758331641885,1.22083018166777,160.741131056339
"42",690,0.0228758331641885,1.22083018166777,160.741131056339
"43",693,0.0228758331641885,1.22083018166777,160.741131056339
"44",706,0.0228758331641885,1.22083018166777,160.741131056339
"45",722,0.0228758331641885,1.22083018166777,160.741131056339
"46",770,0.0228758331641885,1.22083018166777,160.741131056339
"47",780,0.0228758331641885,1.22083018166777,160.741131056339
"48",850,0.0228758331641885,1.22083018166777,160.741131056339
"49",857,0.0228758331641885,1.22083018166777,160.741131056339
"50",980,0.0228758331641885,1.22083018166777,160.741131056339
"51",997,0.0228758331641885,1.22083018166777,160.741131056339
"52",1014,0.0228758331641885,1.22083018166777,160.741131056339
"53",1052,0.0228758331641885,1.22083018166777,160.741131056339
"54",1134,0.0228758331641885,1.22083018166777,160.741131056339
"55",1176,0.0228758331641885,1.22083018166777,160.741131056339
"56",1188,0.0228758331641885,1.22083018166777,160.741131056339
"57",1226,0.0228758331641885,1.22083018166777,160.741131056339
"58",1348,0.0228758331641885,1.22083018166777,160.741131056339
"59",1356,0.0228758331641885,1.22083018166777,160.741131056339
"60",1377,0.0228758331641885,1.22083018166777,160.741131056339
"61",1389,0.0228758331641885,1.22083018166777,160.741131056339
"62",1519,0.0228758331641885,1.22083018166777,160.741131056339
"63",1526,0.0228758331641885,1.22083018166777,160.741131056339
"64",1564,0.0228758331641885,1.22083018166777,160.741131056339
"65",1592,0.0228758331641885,1.22083018166777,160.741131056339
"66",1676,0.0228758331641885,1.22083018166777,160.741131056339
"67",1721,0.0228758331641885,1.22083018166777,160.741131056339
"68",1755,0.0228758331641885,1.22083018166777,160.741131056339
"69",1807,0.0228758331641885,1.22083018166777,160.741131056339
"70",1833,0.0228758331641885,1.22083018166777,160.741131056339
"71",1841,0.0228758331641885,1.22083018166777,160.741131056339
"72",1848,0.0228758331641885,1.22083018166777,160.741131056339
