,agemid,low95,median,up95,,,,,
1,42,8.23E-05,0.002548742,0.015146896,,0.00,0.08,0.46,
2,47,8.23E-05,0.002548742,0.015146896,,,,,
3,53,8.23E-05,0.002548742,0.015146896,,,,,
4,59,8.23E-05,0.002548742,0.015146896,,,,,
5,85,8.23E-05,0.002548742,0.015146896,,,,,
6,96,8.23E-05,0.002548742,0.015146896,,,,,
7,97,8.23E-05,0.002548742,0.015146896,,,,,
8,109,8.23E-05,0.002548742,0.015146896,,,,,
9,140,8.23E-05,0.002548742,0.015146896,,,,,
10,146,8.23E-05,0.002548742,0.015146896,,,,,
11,157,8.23E-05,0.002548742,0.015146896,,,,,
12,159,8.23E-05,0.002548742,0.015146896,,,,,
13,205,8.23E-05,0.002548742,0.015146896,,,,,
14,214,8.23E-05,0.002548742,0.015146896,,,,,
15,216,8.23E-05,0.002548742,0.015146896,,,,,
16,224,8.23E-05,0.002548742,0.015146896,,,,,
17,256,8.23E-05,0.002548742,0.015146896,,,,,
18,266,8.23E-05,0.002548742,0.015146896,,,,,
19,271,8.23E-05,0.002548742,0.015146896,,,,,
20,276,8.23E-05,0.002548742,0.015146896,,,,,
21,328,8.23E-05,0.002548742,0.015146896,,,,,
22,336,8.23E-05,0.002548742,0.015146896,,,,,
23,338,8.23E-05,0.002548742,0.015146896,,,,,
24,340,8.23E-05,0.002548742,0.015146896,,,,,
25,364,8.23E-05,0.002548742,0.015146896,,,,,
26,374,8.23E-05,0.002548742,0.015146896,,,,,
27,375,8.23E-05,0.002548742,0.015146896,,,,,
28,382,8.23E-05,0.002548742,0.015146896,,,,,
29,432,8.23E-05,0.002548742,0.015146896,,,,,
30,444,8.23E-05,0.002548742,0.015146896,,,,,
31,453,8.23E-05,0.002548742,0.015146896,,,,,
32,464,8.23E-05,0.002548742,0.015146896,,,,,
33,510,8.23E-05,0.002548742,0.015146896,,,,,
34,513,8.23E-05,0.002548742,0.015146896,,,,,
35,528,8.23E-05,0.002548742,0.015146896,,,,,
36,565,8.23E-05,0.002548742,0.015146896,,,,,
37,580,8.23E-05,0.002548742,0.015146896,,,,,
38,581,8.23E-05,0.002548742,0.015146896,,,,,
39,587,8.23E-05,0.002548742,0.015146896,,,,,
40,628,8.23E-05,0.002548742,0.015146896,,,,,
41,629,8.23E-05,0.002548742,0.015146896,,,,,
42,639,8.23E-05,0.002548742,0.015146896,,,,,
43,644,8.23E-05,0.002548742,0.015146896,,,,,
44,680,8.23E-05,0.002548742,0.015146896,,,,,
45,686,8.23E-05,0.002548742,0.015146896,,,,,
46,699,8.23E-05,0.002548742,0.015146896,,,,,
47,715,8.23E-05,0.002548742,0.015146896,,,,,
48,768,8.23E-05,0.002548742,0.015146896,,,,,
49,780,8.23E-05,0.002548742,0.015146896,,,,,
50,786,8.23E-05,0.002548742,0.015146896,,,,,
51,850,8.23E-05,0.002548742,0.015146896,,,,,
52,980,8.23E-05,0.002548742,0.015146896,,,,,
53,997,8.23E-05,0.002548742,0.015146896,,,,,
54,1014,8.23E-05,0.002548742,0.015146896,,,,,
55,1052,8.23E-05,0.002548742,0.015146896,,,,,
56,1134,8.23E-05,0.002548742,0.015146896,,,,,
57,1176,8.23E-05,0.002548742,0.015146896,,,,,
58,1188,8.23E-05,0.002548742,0.015146896,,,,,
59,1226,8.23E-05,0.002548742,0.015146896,,,,,
60,1348,8.23E-05,0.002548742,0.015146896,,,,,
61,1356,8.23E-05,0.002548742,0.015146896,,,,,
62,1377,8.23E-05,0.002548742,0.015146896,,,,,
63,1389,8.23E-05,0.002548742,0.015146896,,,,,
64,1519,8.23E-05,0.002548742,0.015146896,,,,,
65,1526,8.23E-05,0.002548742,0.015146896,,,,,
66,1564,8.23E-05,0.002548742,0.015146896,,,,,
67,1592,8.23E-05,0.002548742,0.015146896,,,,,
68,1676,8.23E-05,0.002548742,0.015146896,,,,,
69,1721,8.23E-05,0.002548742,0.015146896,,,,,
70,1755,8.23E-05,0.002548742,0.015146896,,,,,
71,1806,8.23E-05,0.002548742,0.015146896,,,,,
72,1823,8.23E-05,0.002548742,0.015146896,,,,,
73,1841,8.23E-05,0.002548742,0.015146896,,,,,
74,1848,8.23E-05,0.002548742,0.015146896,,,,,
