"","agemid","low95","median","up95"
"1",42,0.000608441448713831,0.00482809425789661,0.012584815765275
"2",47,0.000608441448713831,0.00482809425789661,0.012584815765275
"3",53,0.000608441448713831,0.00482809425789661,0.012584815765275
"4",59,0.000608441448713831,0.00482809425789661,0.012584815765275
"5",85,0.000608441448713831,0.00482809425789661,0.012584815765275
"6",96,0.00291177429002193,0.0108123588848679,0.0612209810030239
"7",97,0.00291177429002193,0.0108123588848679,0.0612209810030239
"8",109,0.00291177429002193,0.0108123588848679,0.0612209810030239
"9",140,0.00291177429002193,0.0108123588848679,0.0612209810030239
"10",146,0.00291177429002193,0.0108123588848679,0.0612209810030239
"11",157,0.00291177429002193,0.0108123588848679,0.0612209810030239
"12",159,0.00291177429002193,0.0108123588848679,0.0612209810030239
"13",205,0.000389029135609701,0.0069099533323875,0.0306953144877091
"14",214,0.000389029135609701,0.0069099533323875,0.0306953144877091
"15",216,0.000389029135609701,0.0069099533323875,0.0306953144877091
"16",224,0.000389029135609701,0.0069099533323875,0.0306953144877091
"17",256,0.000389029135609701,0.0069099533323875,0.0306953144877091
"18",266,0.000389029135609701,0.0069099533323875,0.0306953144877091
"19",271,0.000389029135609701,0.0069099533323875,0.0306953144877091
"20",276,0.000276659493634159,0.00363164962396625,0.0118269370832091
"21",328,0.000276659493634159,0.00363164962396625,0.0118269370832091
"22",336,0.000276659493634159,0.00363164962396625,0.0118269370832091
"23",338,0.000276659493634159,0.00363164962396625,0.0118269370832091
"24",340,0.000276659493634159,0.00363164962396625,0.0118269370832091
"25",364,0.000276659493634159,0.00363164962396625,0.0118269370832091
"26",374,0.000608441448713831,0.00482809425789661,0.012584815765275
"27",375,0.000608441448713831,0.00482809425789661,0.012584815765275
"28",382,0.000608441448713831,0.00482809425789661,0.012584815765275
"29",432,0.000608441448713831,0.00482809425789661,0.012584815765275
"30",444,0.000608441448713831,0.00482809425789661,0.012584815765275
"31",453,0.000608441448713831,0.00482809425789661,0.012584815765275
"32",464,0.00291177429002193,0.0108123588848679,0.0612209810030239
"33",510,0.00291177429002193,0.0108123588848679,0.0612209810030239
"34",513,0.00291177429002193,0.0108123588848679,0.0612209810030239
"35",528,0.00291177429002193,0.0108123588848679,0.0612209810030239
"36",565,0.000389029135609701,0.0069099533323875,0.0306953144877091
"37",580,0.000389029135609701,0.0069099533323875,0.0306953144877091
"38",581,0.000389029135609701,0.0069099533323875,0.0306953144877091
"39",587,0.000389029135609701,0.0069099533323875,0.0306953144877091
"40",628,0.000389029135609701,0.0069099533323875,0.0306953144877091
"41",629,0.000389029135609701,0.0069099533323875,0.0306953144877091
"42",639,0.000276659493634159,0.00363164962396625,0.0118269370832091
"43",644,0.000276659493634159,0.00363164962396625,0.0118269370832091
"44",680,0.000276659493634159,0.00363164962396625,0.0118269370832091
"45",686,0.000276659493634159,0.00363164962396625,0.0118269370832091
"46",699,0.000276659493634159,0.00363164962396625,0.0118269370832091
"47",715,0.000276659493634159,0.00363164962396625,0.0118269370832091
"48",768,0.000608441448713831,0.00482809425789661,0.012584815765275
"49",780,0.000608441448713831,0.00482809425789661,0.012584815765275
"50",786,0.000608441448713831,0.00482809425789661,0.012584815765275
"51",850,0.00291177429002193,0.0108123588848679,0.0612209810030239
"52",980,0.000389029135609701,0.0069099533323875,0.0306953144877091
"53",997,0.000389029135609701,0.0069099533323875,0.0306953144877091
"54",1014,0.000276659493634159,0.00363164962396625,0.0118269370832091
"55",1052,0.000276659493634159,0.00363164962396625,0.0118269370832091
"56",1134,0.000608441448713831,0.00482809425789661,0.012584815765275
"57",1176,0.000608441448713831,0.00482809425789661,0.012584815765275
"58",1188,0.00291177429002193,0.0108123588848679,0.0612209810030239
"59",1226,0.00291177429002193,0.0108123588848679,0.0612209810030239
"60",1348,0.000389029135609701,0.0069099533323875,0.0306953144877091
"61",1356,0.000389029135609701,0.0069099533323875,0.0306953144877091
"62",1377,0.000276659493634159,0.00363164962396625,0.0118269370832091
"63",1389,0.000276659493634159,0.00363164962396625,0.0118269370832091
"64",1519,0.000608441448713831,0.00482809425789661,0.012584815765275
"65",1526,0.000608441448713831,0.00482809425789661,0.012584815765275
"66",1564,0.00291177429002193,0.0108123588848679,0.0612209810030239
"67",1592,0.00291177429002193,0.0108123588848679,0.0612209810030239
"68",1676,0.000389029135609701,0.0069099533323875,0.0306953144877091
"69",1721,0.000389029135609701,0.0069099533323875,0.0306953144877091
"70",1755,0.000276659493634159,0.00363164962396625,0.0118269370832091
"71",1806,0.000276659493634159,0.00363164962396625,0.0118269370832091
"72",1823,0.000276659493634159,0.00363164962396625,0.0118269370832091
"73",1841,0.000608441448713831,0.00482809425789661,0.012584815765275
"74",1848,0.000608441448713831,0.00482809425789661,0.012584815765275
