,agemid,low95,median,up95,,,,,
1,42,0.005237605,0.007844626,0.010180592,,0.159275574,0.238555066,0.309591802,(prop exposed per month)
2,47,0.005237605,0.007844626,0.010180592,,,,,
3,53,0.005237605,0.007844626,0.010180592,,,,,
4,59,0.005237605,0.007844626,0.010180592,,,,,
5,85,0.005237605,0.007844626,0.010180592,,,,,
6,96,0.005237605,0.007844626,0.010180592,,,,,
7,97,0.005237605,0.007844626,0.010180592,,,,,
8,109,0.005237605,0.007844626,0.010180592,,,,,
9,140,0.005237605,0.007844626,0.010180592,,,,,
10,146,0.005237605,0.007844626,0.010180592,,,,,
11,157,0.005237605,0.007844626,0.010180592,,,,,
12,159,0.005237605,0.007844626,0.010180592,,,,,
13,205,0.005237605,0.007844626,0.010180592,,,,,
14,214,0.005237605,0.007844626,0.010180592,,,,,
15,216,0.005237605,0.007844626,0.010180592,,,,,
16,224,0.005237605,0.007844626,0.010180592,,,,,
17,256,0.005237605,0.007844626,0.010180592,,,,,
18,266,0.005237605,0.007844626,0.010180592,,,,,
19,271,0.005237605,0.007844626,0.010180592,,,,,
20,276,0.005237605,0.007844626,0.010180592,,,,,
21,328,0.005237605,0.007844626,0.010180592,,,,,
22,336,0.005237605,0.007844626,0.010180592,,,,,
23,338,0.005237605,0.007844626,0.010180592,,,,,
24,340,0.005237605,0.007844626,0.010180592,,,,,
25,364,0.005237605,0.007844626,0.010180592,,,,,
26,374,0.005237605,0.007844626,0.010180592,,,,,
27,375,0.005237605,0.007844626,0.010180592,,,,,
28,382,0.005237605,0.007844626,0.010180592,,,,,
29,432,0.005237605,0.007844626,0.010180592,,,,,
30,444,0.005237605,0.007844626,0.010180592,,,,,
31,453,0.005237605,0.007844626,0.010180592,,,,,
32,464,0.005237605,0.007844626,0.010180592,,,,,
33,510,0.005237605,0.007844626,0.010180592,,,,,
34,513,0.005237605,0.007844626,0.010180592,,,,,
35,528,0.005237605,0.007844626,0.010180592,,,,,
36,565,0.005237605,0.007844626,0.010180592,,,,,
37,580,0.005237605,0.007844626,0.010180592,,,,,
38,581,0.005237605,0.007844626,0.010180592,,,,,
39,587,0.005237605,0.007844626,0.010180592,,,,,
40,628,0.005237605,0.007844626,0.010180592,,,,,
41,629,0.005237605,0.007844626,0.010180592,,,,,
42,639,0.005237605,0.007844626,0.010180592,,,,,
43,644,0.005237605,0.007844626,0.010180592,,,,,
44,680,0.005237605,0.007844626,0.010180592,,,,,
45,686,0.005237605,0.007844626,0.010180592,,,,,
46,699,0.005237605,0.007844626,0.010180592,,,,,
47,715,0.005237605,0.007844626,0.010180592,,,,,
48,768,0.005237605,0.007844626,0.010180592,,,,,
49,780,0.005237605,0.007844626,0.010180592,,,,,
50,786,0.005237605,0.007844626,0.010180592,,,,,
51,850,0.005237605,0.007844626,0.010180592,,,,,
52,980,0.005237605,0.007844626,0.010180592,,,,,
53,997,0.005237605,0.007844626,0.010180592,,,,,
54,1014,0.005237605,0.007844626,0.010180592,,,,,
55,1052,0.005237605,0.007844626,0.010180592,,,,,
56,1134,0.005237605,0.007844626,0.010180592,,,,,
57,1176,0.005237605,0.007844626,0.010180592,,,,,
58,1188,0.005237605,0.007844626,0.010180592,,,,,
59,1226,0.005237605,0.007844626,0.010180592,,,,,
60,1348,0.005237605,0.007844626,0.010180592,,,,,
61,1356,0.005237605,0.007844626,0.010180592,,,,,
62,1377,0.005237605,0.007844626,0.010180592,,,,,
63,1389,0.005237605,0.007844626,0.010180592,,,,,
64,1519,0.005237605,0.007844626,0.010180592,,,,,
65,1526,0.005237605,0.007844626,0.010180592,,,,,
66,1564,0.005237605,0.007844626,0.010180592,,,,,
67,1592,0.005237605,0.007844626,0.010180592,,,,,
68,1676,0.005237605,0.007844626,0.010180592,,,,,
69,1721,0.005237605,0.007844626,0.010180592,,,,,
70,1755,0.005237605,0.007844626,0.010180592,,,,,
71,1806,0.005237605,0.007844626,0.010180592,,,,,
72,1823,0.005237605,0.007844626,0.010180592,,,,,
73,1841,0.005237605,0.007844626,0.010180592,,,,,
74,1848,0.005237605,0.007844626,0.010180592,,,,,
