,agemid,low95,median,up95,,,,,
1,42,0.000131396,0.008605351,0.075380107,,0.399574929,26.16887253,229.2309064,(%/month)
2,47,0.000131396,0.008605351,0.075380107,,,,,
3,53,0.000131396,0.008605351,0.075380107,,,,,
4,59,0.000131396,0.008605351,0.075380107,,,,,
5,85,0.000131396,0.008605351,0.075380107,,,,,
6,96,0.000131396,0.008605351,0.075380107,,,,,
7,98,0.000131396,0.008605351,0.075380107,,,,,
8,110,0.000131396,0.008605351,0.075380107,,,,,
9,141,0.000131396,0.008605351,0.075380107,,,,,
10,146,0.000131396,0.008605351,0.075380107,,,,,
11,158,0.000131396,0.008605351,0.075380107,,,,,
12,159,0.000131396,0.008605351,0.075380107,,,,,
13,206,0.000131396,0.008605351,0.075380107,,,,,
14,214,0.000131396,0.008605351,0.075380107,,,,,
15,216,0.000131396,0.008605351,0.075380107,,,,,
16,224,0.000131396,0.008605351,0.075380107,,,,,
17,257,0.000131396,0.008605351,0.075380107,,,,,
18,266,0.000131396,0.008605351,0.075380107,,,,,
19,271,0.000131396,0.008605351,0.075380107,,,,,
20,276,0.000131396,0.008605351,0.075380107,,,,,
21,330,0.000131396,0.008605351,0.075380107,,,,,
22,336,0.000131396,0.008605351,0.075380107,,,,,
23,340,0.000131396,0.008605351,0.075380107,,,,,
24,343,0.000131396,0.008605351,0.075380107,,,,,
25,375,0.000131396,0.008605351,0.075380107,,,,,
26,379,0.000131396,0.008605351,0.075380107,,,,,
27,385,0.000131396,0.008605351,0.075380107,,,,,
28,432,0.000131396,0.008605351,0.075380107,,,,,
29,453,0.000131396,0.008605351,0.075380107,,,,,
30,460,0.000131396,0.008605351,0.075380107,,,,,
31,464,0.000131396,0.008605351,0.075380107,,,,,
32,510,0.000131396,0.008605351,0.075380107,,,,,
33,516,0.000131396,0.008605351,0.075380107,,,,,
34,531,0.000131396,0.008605351,0.075380107,,,,,
35,534,0.000131396,0.008605351,0.075380107,,,,,
36,571,0.000131396,0.008605351,0.075380107,,,,,
37,586,0.000131396,0.008605351,0.075380107,,,,,
38,588,0.000131396,0.008605351,0.075380107,,,,,
39,629,0.000131396,0.008605351,0.075380107,,,,,
40,631,0.000131396,0.008605351,0.075380107,,,,,
41,647,0.000131396,0.008605351,0.075380107,,,,,
42,690,0.000131396,0.008605351,0.075380107,,,,,
43,693,0.000131396,0.008605351,0.075380107,,,,,
44,706,0.000131396,0.008605351,0.075380107,,,,,
45,722,0.000131396,0.008605351,0.075380107,,,,,
46,770,0.000131396,0.008605351,0.075380107,,,,,
47,780,0.000131396,0.008605351,0.075380107,,,,,
48,850,0.000131396,0.008605351,0.075380107,,,,,
49,857,0.000131396,0.008605351,0.075380107,,,,,
50,980,0.000131396,0.008605351,0.075380107,,,,,
51,997,0.000131396,0.008605351,0.075380107,,,,,
52,1014,0.000131396,0.008605351,0.075380107,,,,,
53,1052,0.000131396,0.008605351,0.075380107,,,,,
54,1134,0.000131396,0.008605351,0.075380107,,,,,
55,1176,0.000131396,0.008605351,0.075380107,,,,,
56,1188,0.000131396,0.008605351,0.075380107,,,,,
57,1226,0.000131396,0.008605351,0.075380107,,,,,
58,1348,0.000131396,0.008605351,0.075380107,,,,,
59,1356,0.000131396,0.008605351,0.075380107,,,,,
60,1377,0.000131396,0.008605351,0.075380107,,,,,
61,1389,0.000131396,0.008605351,0.075380107,,,,,
62,1519,0.000131396,0.008605351,0.075380107,,,,,
63,1526,0.000131396,0.008605351,0.075380107,,,,,
64,1564,0.000131396,0.008605351,0.075380107,,,,,
65,1592,0.000131396,0.008605351,0.075380107,,,,,
66,1676,0.000131396,0.008605351,0.075380107,,,,,
67,1721,0.000131396,0.008605351,0.075380107,,,,,
68,1755,0.000131396,0.008605351,0.075380107,,,,,
69,1807,0.000131396,0.008605351,0.075380107,,,,,
70,1833,0.000131396,0.008605351,0.075380107,,,,,
71,1841,0.000131396,0.008605351,0.075380107,,,,,
72,1848,0.000131396,0.008605351,0.075380107,,,,,
