,agemid,low95,median,up95,,,,,
1,42,0.002675313,0.003357056,0.005163694,,373.7880404,297.8800418,193.6598282,(days)
2,47,0.002675313,0.003357056,0.005163694,,,,,
3,53,0.002675313,0.003357056,0.005163694,,,,,
4,59,0.002675313,0.003357056,0.005163694,,,,,
5,85,0.002675313,0.003357056,0.005163694,,,,,
6,96,0.002675313,0.003357056,0.005163694,,,,,
7,98,0.002675313,0.003357056,0.005163694,,,,,
8,110,0.002675313,0.003357056,0.005163694,,,,,
9,141,0.002675313,0.003357056,0.005163694,,,,,
10,146,0.002675313,0.003357056,0.005163694,,,,,
11,158,0.002675313,0.003357056,0.005163694,,,,,
12,159,0.002675313,0.003357056,0.005163694,,,,,
13,206,0.002675313,0.003357056,0.005163694,,,,,
14,214,0.002675313,0.003357056,0.005163694,,,,,
15,216,0.002675313,0.003357056,0.005163694,,,,,
16,224,0.002675313,0.003357056,0.005163694,,,,,
17,257,0.002675313,0.003357056,0.005163694,,,,,
18,266,0.002675313,0.003357056,0.005163694,,,,,
19,271,0.002675313,0.003357056,0.005163694,,,,,
20,276,0.002675313,0.003357056,0.005163694,,,,,
21,330,0.002675313,0.003357056,0.005163694,,,,,
22,336,0.002675313,0.003357056,0.005163694,,,,,
23,340,0.002675313,0.003357056,0.005163694,,,,,
24,343,0.002675313,0.003357056,0.005163694,,,,,
25,375,0.002675313,0.003357056,0.005163694,,,,,
26,379,0.002675313,0.003357056,0.005163694,,,,,
27,385,0.002675313,0.003357056,0.005163694,,,,,
28,432,0.002675313,0.003357056,0.005163694,,,,,
29,453,0.002675313,0.003357056,0.005163694,,,,,
30,460,0.002675313,0.003357056,0.005163694,,,,,
31,464,0.002675313,0.003357056,0.005163694,,,,,
32,510,0.002675313,0.003357056,0.005163694,,,,,
33,516,0.002675313,0.003357056,0.005163694,,,,,
34,531,0.002675313,0.003357056,0.005163694,,,,,
35,534,0.002675313,0.003357056,0.005163694,,,,,
36,571,0.002675313,0.003357056,0.005163694,,,,,
37,586,0.002675313,0.003357056,0.005163694,,,,,
38,588,0.002675313,0.003357056,0.005163694,,,,,
39,629,0.002675313,0.003357056,0.005163694,,,,,
40,631,0.002675313,0.003357056,0.005163694,,,,,
41,647,0.002675313,0.003357056,0.005163694,,,,,
42,690,0.002675313,0.003357056,0.005163694,,,,,
43,693,0.002675313,0.003357056,0.005163694,,,,,
44,706,0.002675313,0.003357056,0.005163694,,,,,
45,722,0.002675313,0.003357056,0.005163694,,,,,
46,770,0.002675313,0.003357056,0.005163694,,,,,
47,780,0.002675313,0.003357056,0.005163694,,,,,
48,850,0.002675313,0.003357056,0.005163694,,,,,
49,857,0.002675313,0.003357056,0.005163694,,,,,
50,980,0.002675313,0.003357056,0.005163694,,,,,
51,997,0.002675313,0.003357056,0.005163694,,,,,
52,1014,0.002675313,0.003357056,0.005163694,,,,,
53,1052,0.002675313,0.003357056,0.005163694,,,,,
54,1134,0.002675313,0.003357056,0.005163694,,,,,
55,1176,0.002675313,0.003357056,0.005163694,,,,,
56,1188,0.002675313,0.003357056,0.005163694,,,,,
57,1226,0.002675313,0.003357056,0.005163694,,,,,
58,1348,0.002675313,0.003357056,0.005163694,,,,,
59,1356,0.002675313,0.003357056,0.005163694,,,,,
60,1377,0.002675313,0.003357056,0.005163694,,,,,
61,1389,0.002675313,0.003357056,0.005163694,,,,,
62,1519,0.002675313,0.003357056,0.005163694,,,,,
63,1526,0.002675313,0.003357056,0.005163694,,,,,
64,1564,0.002675313,0.003357056,0.005163694,,,,,
65,1592,0.002675313,0.003357056,0.005163694,,,,,
66,1676,0.002675313,0.003357056,0.005163694,,,,,
67,1721,0.002675313,0.003357056,0.005163694,,,,,
68,1755,0.002675313,0.003357056,0.005163694,,,,,
69,1807,0.002675313,0.003357056,0.005163694,,,,,
70,1833,0.002675313,0.003357056,0.005163694,,,,,
71,1841,0.002675313,0.003357056,0.005163694,,,,,
72,1848,0.002675313,0.003357056,0.005163694,,,,,
