"age_years","mean","median","sd","min","max"
"0-1 year",1.79919678714859,0,3.62782695073866,0,27
"1-2 years",2.58677685950413,1,3.9405359650002,0,20
"2-3 years",4.30357142857143,1.5,6.36158826039576,0,30
"3-4 years",5.95652173913043,2.5,6.88623916627011,0,30
"5 years",9.0625,5,10.2514751102212,0,40
