,agemid,low95,median,up95,,,,,,
112,1551,0.005223206,0.028887332,0.097291095,,,,,,
113,1564,0.002685001,0.013351735,0.080845055,,,,,,
114,1592,0.002685001,0.013351735,0.080845055,,,,,,
115,1667,0.00148292,0.006001746,0.017407368,,,,,,
116,1721,0.00148292,0.006001746,0.017407368,,,,,,
117,1755,0.000424286,0.003344389,0.011886508,,,,,,
118,1760,0.000424286,0.003344389,0.011886508,,,,,,
119,1806,0.000424286,0.003344389,0.011886508,,,,,,
120,1823,0.000424286,0.003344389,0.011886508,,,,,,
121,1841,0.005157196,0.028662152,0.097189639,,,,,,
122,1848,0.005157196,0.028662152,0.097189639,,,,,,
