,agemid,low95,median,up95,,,,,,,
105,1389,0.002300929,0.012626662,0.044627692,,,,,,,
106,1414,0.002300929,0.012626662,0.044627692,,,,,,,
107,1450,0.002300929,0.012626662,0.044627692,,,,,,,
108,1523,0.00148714,0.020525825,0.095087809,,,,,,,
109,1526,0.00148714,0.020525825,0.095087809,,,,,,,
110,1537,0.00148714,0.020525825,0.095087809,,,,,,,
111,1541,0.00148714,0.020525825,0.095087809,,,,,,,
112,1551,0.00148714,0.020525825,0.095087809,,,,,,,
113,1564,0.01006953,0.054758252,0.139337703,,,,,,,
114,1592,0.01006953,0.054758252,0.139337703,,,,,,,
115,1667,0.004703487,0.025219593,0.089816271,,,,,,,
116,1721,0.004703487,0.025219593,0.089816271,,,,,,,
117,1755,0.00248114,0.014131061,0.052336289,,,,,,,
118,1760,0.00248114,0.014131061,0.052336289,,,,,,,
119,1806,0.00248114,0.014131061,0.052336289,,,,,,,
120,1823,0.00248114,0.014131061,0.052336289,,,,,,,
121,1841,0.000966039,0.011434991,0.049458221,,,,,,,
122,1848,0.000966039,0.011434991,0.049458221,,,,,,,
