,agemid,low95,median,up95,,,,,,,,,,
62,573,0.003622589,0.026813888,0.096255919,,,,,,,,,,
63,574,0.003622589,0.026813888,0.096255919,,,,,,,,,,
64,585,0.003622589,0.026813888,0.096255919,,,,,,,,,,
65,586,0.003622589,0.026813888,0.096255919,,,,,,,,,,
66,588,0.003622589,0.026813888,0.096255919,,,,,,,,,,
67,626,0.003622589,0.026813888,0.096255919,,,,,,,,,,
68,627,0.003622589,0.026813888,0.096255919,,,,,,,,,,
69,629,0.003622589,0.026813888,0.096255919,,,,,,,,,,
70,632,0.003622589,0.026813888,0.096255919,,,,,,,,,,
71,644,0.002006041,0.011127853,0.080065935,,,,,,,,,,
72,653,0.002006041,0.011127853,0.080065935,,,,,,,,,,
73,654,0.002006041,0.011127853,0.080065935,,,,,,,,,,
74,680,0.002006041,0.011127853,0.080065935,,,,,,,,,,
75,693,0.002006041,0.011127853,0.080065935,,,,,,,,,,
76,713,0.002006041,0.011127853,0.080065935,,,,,,,,,,
77,715,0.002006041,0.011127853,0.080065935,,,,,,,,,,
78,728,0.002006041,0.011127853,0.080065935,,,C/month,Prop made up by C,,Increase per year,,,,
79,749,0.00112091,0.004655575,0.014062013,,,0.007301912,0.100824509,,1.054380633,,,,
80,760,0.00112091,0.004655575,0.014062013,,,,,,,,,,
81,772,0.00112091,0.004655575,0.014062013,,,,,,,,,,
82,825,0.000311094,0.002192757,0.006872838,,,,,,,,,,
83,837,0.000311094,0.002192757,0.006872838,,,,,,,,,,
84,867,0.000311094,0.002192757,0.006872838,,,,,,,,,,
85,884,0.000311094,0.002192757,0.006872838,,,,,,,,,,
86,967,0.004535117,0.027857419,0.096888444,,,,,,,,,,
87,984,0.004535117,0.027857419,0.096888444,,,,,,,,,,
88,1010,0.002360747,0.012061673,0.080263916,,,,,,,,,,
89,1013,0.002360747,0.012061673,0.080263916,,,,,,,,,,
90,1014,0.002360747,0.012061673,0.080263916,,,,,,,,,,
91,1042,0.002360747,0.012061673,0.080263916,,,,,,,,,,
92,1047,0.002360747,0.012061673,0.080263916,,,,,,,,,,
93,1061,0.002360747,0.012061673,0.080263916,,,,,,,,,,
94,1120,0.001923874,0.007829458,0.023427995,,,,,,,,,,
95,1141,0.001923874,0.007829458,0.023427995,,,,,,,,,,
96,1148,0.001923874,0.007829458,0.023427995,,,,,,,,,,
97,1158,0.001923874,0.007829458,0.023427995,,,,,,,,,,
98,1176,0.001923874,0.007829458,0.023427995,,,,,,,,,,
99,1202,0.000565702,0.005087468,0.019686102,,,,,,,,,,
100,1230,0.000565702,0.005087468,0.019686102,,,,,,,,,,
101,1242,0.000565702,0.005087468,0.019686102,,,,,,,,,,
102,1334,0.005552471,0.029614444,0.097696918,,,,,,,,,,
103,1340,0.005552471,0.029614444,0.097696918,,,,,,,,,,
104,1377,0.002932017,0.013919854,0.081642604,,,,,,,,,,
105,1389,0.002932017,0.013919854,0.081642604,,,,,,,,,,
106,1414,0.002932017,0.013919854,0.081642604,,,,,,,,,,
107,1450,0.002932017,0.013919854,0.081642604,,,,,,,,,,
108,1523,0.002197046,0.009618041,0.031202145,,,,,,,,,,
109,1526,0.002197046,0.009618041,0.031202145,,,,,,,,,,
110,1537,0.002197046,0.009618041,0.031202145,,,,,,,,,,
111,1541,0.002197046,0.009618041,0.031202145,,,,,,,,,,
112,1551,0.002197046,0.009618041,0.031202145,,,,,,,,,,
113,1564,0.000707592,0.006922464,0.027797094,,,,,,,,,,
114,1592,0.000707592,0.006922464,0.027797094,,,,,,,,,,
115,1667,0.0064108,0.032445675,0.100088849,,,,,,,,,,
116,1721,0.0064108,0.032445675,0.100088849,,,,,,,,,,
117,1755,0.003560251,0.017498424,0.084708217,,,,,,,,,,
118,1760,0.003560251,0.017498424,0.084708217,,,,,,,,,,
119,1806,0.003560251,0.017498424,0.084708217,,,,,,,,,,
120,1823,0.003560251,0.017498424,0.084708217,,,,,,,,,,
121,1841,0.002095369,0.008866662,0.02772802,,,,,,,,,,
122,1848,0.002095369,0.008866662,0.02772802,,,,,,,,,,
