,agemid,low95,median,up95,,low95,median,up95,
1,42,2.25E-05,0.000697745,0.00296902,,2.00E-03,7.00E-02,2.97E-01,(% per day)
2,47,2.25E-05,0.000697745,0.00296902,,0.07,2.12,9.03,(% per month)
3,53,2.25E-05,0.000697745,0.00296902,,0.21,6.37,27.09,(% per season)
4,59,2.25E-05,0.000697745,0.00296902,,,,,
5,85,2.25E-05,0.000697745,0.00296902,,,,,
6,96,2.25E-05,0.000697745,0.00296902,,,,,
7,98,2.25E-05,0.000697745,0.00296902,,,,,
8,110,2.25E-05,0.000697745,0.00296902,,,,,
9,141,2.25E-05,0.000697745,0.00296902,,,,,
10,146,2.25E-05,0.000697745,0.00296902,,,,,
11,158,2.25E-05,0.000697745,0.00296902,,,,,
12,159,2.25E-05,0.000697745,0.00296902,,,,,
13,206,2.25E-05,0.000697745,0.00296902,,,,,
14,214,2.25E-05,0.000697745,0.00296902,,,,,
15,216,2.25E-05,0.000697745,0.00296902,,,,,
16,224,2.25E-05,0.000697745,0.00296902,,,,,
17,257,2.25E-05,0.000697745,0.00296902,,,,,
18,266,2.25E-05,0.000697745,0.00296902,,,,,
19,271,2.25E-05,0.000697745,0.00296902,,,,,
20,276,2.25E-05,0.000697745,0.00296902,,,,,
21,330,2.25E-05,0.000697745,0.00296902,,,,,
22,336,2.25E-05,0.000697745,0.00296902,,,,,
23,340,2.25E-05,0.000697745,0.00296902,,,,,
24,343,2.25E-05,0.000697745,0.00296902,,,,,
25,375,2.25E-05,0.000697745,0.00296902,,,,,
26,379,2.25E-05,0.000697745,0.00296902,,,,,
27,385,2.25E-05,0.000697745,0.00296902,,,,,
28,432,2.25E-05,0.000697745,0.00296902,,,,,
29,453,2.25E-05,0.000697745,0.00296902,,,,,
30,460,2.25E-05,0.000697745,0.00296902,,,,,
31,464,2.25E-05,0.000697745,0.00296902,,,,,
32,510,2.25E-05,0.000697745,0.00296902,,,,,
33,516,2.25E-05,0.000697745,0.00296902,,,,,
34,531,2.25E-05,0.000697745,0.00296902,,,,,
35,534,2.25E-05,0.000697745,0.00296902,,,,,
36,571,2.25E-05,0.000697745,0.00296902,,,,,
37,586,2.25E-05,0.000697745,0.00296902,,,,,
38,588,2.25E-05,0.000697745,0.00296902,,,,,
39,629,2.25E-05,0.000697745,0.00296902,,,,,
40,631,2.25E-05,0.000697745,0.00296902,,,,,
41,647,2.25E-05,0.000697745,0.00296902,,,,,
42,690,2.25E-05,0.000697745,0.00296902,,,,,
43,693,2.25E-05,0.000697745,0.00296902,,,,,
44,706,2.25E-05,0.000697745,0.00296902,,,,,
45,722,2.25E-05,0.000697745,0.00296902,,,,,
46,770,2.25E-05,0.000697745,0.00296902,,,,,
47,780,2.25E-05,0.000697745,0.00296902,,,,,
48,850,2.25E-05,0.000697745,0.00296902,,,,,
49,857,2.25E-05,0.000697745,0.00296902,,,,,
50,980,2.25E-05,0.000697745,0.00296902,,,,,
51,997,2.25E-05,0.000697745,0.00296902,,,,,
52,1014,2.25E-05,0.000697745,0.00296902,,,,,
53,1052,2.25E-05,0.000697745,0.00296902,,,,,
54,1134,2.25E-05,0.000697745,0.00296902,,,,,
55,1176,2.25E-05,0.000697745,0.00296902,,,,,
56,1188,2.25E-05,0.000697745,0.00296902,,,,,
57,1226,2.25E-05,0.000697745,0.00296902,,,,,
58,1348,2.25E-05,0.000697745,0.00296902,,,,,
59,1356,2.25E-05,0.000697745,0.00296902,,,,,
60,1377,2.25E-05,0.000697745,0.00296902,,,,,
61,1389,2.25E-05,0.000697745,0.00296902,,,,,
62,1519,2.25E-05,0.000697745,0.00296902,,,,,
63,1526,2.25E-05,0.000697745,0.00296902,,,,,
64,1564,2.25E-05,0.000697745,0.00296902,,,,,
65,1592,2.25E-05,0.000697745,0.00296902,,,,,
66,1676,2.25E-05,0.000697745,0.00296902,,,,,
67,1721,2.25E-05,0.000697745,0.00296902,,,,,
68,1755,2.25E-05,0.000697745,0.00296902,,,,,
69,1807,2.25E-05,0.000697745,0.00296902,,,,,
70,1833,2.25E-05,0.000697745,0.00296902,,,,,
71,1841,2.25E-05,0.000697745,0.00296902,,,,,
72,1848,2.25E-05,0.000697745,0.00296902,,,,,
